Emotion,Scene,Object,Trial_ID
neg,Animals_047_hdisgust.jpg,sunglasses01.jpg,filler
neu,neutral_053.jpg,pingpongracket.jpg,filler
neu,neutral_066.jpg,fryingpan02a.jpg,filler
neg,Animals_087_h.jpg,scale01.jpg,filler
neg,Objects_283_hsad.jpg,microscope.jpg,filler
neu,neutral_716.jpg,waterbottle03.jpg,filler
neg,Animals_020_h_fear.jpg,lightbulb01.jpg,filler
neu,neutral_421.jpg,paintroller01.jpg,filler
neu,neutral_197.jpg,match.jpg,filler
neg,Objects_106_vdisgust.jpg,brick.jpg,filler
neg,People_121_hsad.jpg,CD.jpg,filler
neu,neutral_169.jpg,button01.jpg,filler
