condition,null_ID,neu_ID,neg_ID,T_ID,NT_ID,Object,Scene,filler,pair_ID,exp_ID
Tneu,1,9999,26,9999,26,hat03b.jpg,neutral_017.jpg,no,1,TNT_scanner
Tneu,2,9999,27,9999,27,tuque03b.jpg,neutral_098.jpg,no,2,TNT_scanner
Tneu,3,9999,28,9999,28,belt02a.jpg,neutral_293.jpg,no,3,TNT_scanner
Tneu,4,9999,29,9999,29,toothbrush03b.jpg,neutral_390.jpg,no,4,TNT_scanner
Tneu,5,9999,30,9999,30,radio02.jpg,neutral_331.jpg,no,5,TNT_scanner
Tneu,6,9999,31,9999,31,negativefilm.jpg,neutral_192.jpg,no,6,TNT_scanner
Tneu,7,9999,32,9999,32,ring01.jpg,neutral_226.jpg,no,7,TNT_scanner
Tneu,8,9999,33,9999,33,fan.jpg,neutral_706.jpg,no,8,TNT_scanner
Tneu,9,9999,34,9999,34,lock03a.jpg,neutral_659.jpg,no,9,TNT_scanner
Tneu,10,9999,35,9999,35,chessboard.jpg,neutral_227.jpg,no,10,TNT_scanner
Tneu,11,9999,36,9999,36,chair.jpg,neutral_144.jpg,no,11,TNT_scanner
Tneu,12,9999,37,9999,37,bottlecap.jpg,neutral_134.jpg,no,12,TNT_scanner
Tneg,25,26,9999,9999,50,thimble.jpg,Objects_021_vdisgust.jpg,no,13,TNT_scanner
Tneg,26,27,9999,9999,51,binoculars01b.jpg,Animals_221_hdisgustfear.jpg,no,14,TNT_scanner
Tneg,27,28,9999,9999,52,key01.jpg,1033_animal_fearanddisgust.jpg,no,15,TNT_scanner
Tneg,28,29,9999,9999,53,calculator01.jpg,6520_people_fear.jpg,no,16,TNT_scanner
Tneg,29,30,9999,9999,54,box01.jpg,2900.1_people_crying.jpg,no,17,TNT_scanner
Tneg,30,31,9999,9999,55,safetypin.jpg,8480_people_fear.jpg,no,18,TNT_scanner
Tneg,31,32,9999,9999,56,makeupbrush04.jpg,People_127_fearh.jpg,no,19,TNT_scanner
Tneg,32,33,9999,9999,57,pictureframe04.jpg,9433_people-disgust.jpg,no,20,TNT_scanner
Tneg,33,34,9999,9999,58,globe.jpg,People_201_vsadterror.jpg,no,21,TNT_scanner
Tneg,34,35,9999,9999,59,measuringtape01.jpg,Faces_363_vsad.jpg,no,22,TNT_scanner
Tneg,35,36,9999,9999,60,towel02a.jpg,Objects_006_hdisgust.jpg,no,23,TNT_scanner
Tneg,36,37,9999,9999,61,wallet04.jpg,People_140_hsad.jpg,no,24,TNT_scanner
NTneu,49,9999,50,26,9999,pylon.jpg,neutral_065.jpg,no,25,TNT_scanner
NTneu,50,9999,51,27,9999,bow04.jpg,neutral_128.jpg,no,26,TNT_scanner
NTneu,51,9999,52,28,9999,shirt01.jpg,neutral_007.jpg,no,27,TNT_scanner
NTneu,52,9999,53,29,9999,stackingrings01a.jpg,neutral_246.jpg,no,28,TNT_scanner
NTneu,53,9999,54,30,9999,hinge.jpg,neutral_582.jpg,no,29,TNT_scanner
NTneu,54,9999,55,31,9999,battery02b.jpg,neutral_509.jpg,no,30,TNT_scanner
NTneu,55,9999,56,32,9999,watch02a.jpg,neutral_380.jpg,no,31,TNT_scanner
NTneu,56,9999,57,33,9999,binder03b.jpg,neutral_512.jpg,no,32,TNT_scanner
NTneu,57,9999,58,34,9999,pencilsharpener02a.jpg,neutral_022.jpg,no,33,TNT_scanner
NTneu,58,9999,59,35,9999,cup01.jpg,neutral_195.jpg,no,34,TNT_scanner
NTneu,59,9999,60,36,9999,lifejacket.jpg,neutral_247.jpg,no,35,TNT_scanner
NTneu,60,9999,61,37,9999,birdie.jpg,neutral_614.jpg,no,36,TNT_scanner
NTneg,73,50,9999,50,9999,ruler05.jpg,1201_animal_fearanddisgust.jpg,no,37,TNT_scanner
NTneg,74,51,9999,51,9999,boot02b.jpg,Objects_328_hdisgust.jpg,no,38,TNT_scanner
NTneg,75,52,9999,52,9999,book01b.jpg,9412_people_sad.jpg,no,39,TNT_scanner
NTneg,76,53,9999,53,9999,glassmop.jpg,9440_object_disgustandfear.jpg,no,40,TNT_scanner
NTneg,77,54,9999,54,9999,stapler03a.jpg,People_001_hsadterror.jpg,no,41,TNT_scanner
NTneg,78,55,9999,55,9999,mirror.jpg,2981_animal_disgust.jpg,no,42,TNT_scanner
NTneg,79,56,9999,56,9999,dice05a.jpg,9050_people_accideNT.jpg,no,43,TNT_scanner
NTneg,80,57,9999,57,9999,pillow02b.jpg,2700._people_crying_sad.jpg,no,44,TNT_scanner
NTneg,81,58,9999,58,9999,plasticflower01a.jpg,6550_people_fear.jpg,no,45,TNT_scanner
NTneg,82,59,9999,59,9999,hanger02a.jpg,People_077_vfear.jpg,no,46,TNT_scanner
NTneg,83,60,9999,60,9999,spoon01.jpg,Animals_008_v_disgust.jpg,no,47,TNT_scanner
NTneg,84,61,9999,61,9999,measuringcup01.jpg,2811_object_fear.jpg,no,48,TNT_scanner
NULL,9999,,,,,,,,,TNT_scanner
NULL,9999,,,,,,,,,TNT_scanner
NULL,9999,,,,,,,,,TNT_scanner
NULL,9999,,,,,,,,,TNT_scanner
NULL,9999,,,,,,,,,TNT_scanner
NULL,9999,,,,,,,,,TNT_scanner
NULL,9999,,,,,,,,,TNT_scanner
NULL,9999,,,,,,,,,TNT_scanner
NULL,9999,,,,,,,,,TNT_scanner
NULL,9999,,,,,,,,,TNT_scanner
NULL,9999,,,,,,,,,TNT_scanner
NULL,9999,,,,,,,,,TNT_scanner
